A Dominie Dismissed,Alexander Sutherland Neill,57059
Healthful Sports for Young Ladies,St. Sernin,57057
Winning his Wings,Percy F. Westerman,57056
"Baily's Magazine of Sports and Pastimes, Volume 85",Various,57055
Flat Machine Knitting and Fabrics,H. D. Buck,57054
The Fall of the Great Republic (1886-88),Henry Standish Coverdale,57049
"Captain Billy's Whiz Bang, Vol. 2, No. 20, May, 1921",Various,57047
The Pool of Stars,Cornelia Meigs,57046
"The Knights of England, France, and Scotland",Henry William Herbert,57045
The art of taking a wife,Paolo Mantegazza,57042
Observations upon the Town of Cromer,Edmund Bartell,57041
"Prince Rupert, the Buccaneer",C. J. Cutcliffe Hyne,57039
A Slav Soul and Other Stories,Alexander Kuprin,57036
The Harmonicon,Various                                              ,57033
Cotton Weaving and Designing,John T. Taylor                         ,57031
The Pocket Lavater,Unknown,57030
A Dominie's Log,Alexander Sutherland Neill                          ,57028
"The Girl's Own Paper, Vol. 20, No. 1002, March 11, 1899",Various     ,57027
The Last of the Bushrangers,Francis Augustus Hare,57026
"Captain Billy's Whiz Bang, Vol. 2, No. 18, March, 1921",Various,57025
Patrins,Louise Imogen Guiney,57024
A Minor Poet and Other Verse,Amy Levy                               ,57022
The Christiana Riot and The Treason Trials of 1851,W. U. Hensel,57021
Pieces People Ask For,Various                                       ,57018
The heritage of unrest,Gwendolen Overton                            ,57017
"The Girl's Own Paper, Vol. 20, No. 1001, March 4, 1899",Various,57015
"The American Missionary, Volume 41, No. 7, July, 1887",Various,57014
"The American Missionary, Volume 41, No. 6, June, 1887",Various,57013
Alexandria: A History and a Guide,Edward Morgan Forster,57010
History of Lace,Bury Palliser,57009
The Haunted Hangar,Ardon Van Buren Powell,57008
Foxhunting on the Lakeland Fells,Richard Clapham,57007
The Freaks of Mayfair,E. F. Benson                                  ,57006
"The History of the Pyrates, Vol. 2",Daniel Defoe                    ,57005
The Trossachs,Geraldine Edith Mitton                                ,57004
The Challoners,E. F. Benson                                         ,57002
The Boy Aeronauts' Club,Ashton Lamar,57000
Jack Chanty,Hulbert Footner,56999
"A Second Letter to the Rev. William Maskell, M.A.",Mayow Wynell Mayow,56998
