title,author,number
Wuthering Heights,Emily Brontë,768
Agnes Grey,Anne Brontë,767
David Copperfield,Charles Dickens,766
The Moon Pool,A. Merritt,765
"Hans Brinker; or, the Silver Skate",Mary Mapes Dodge,764
The Round-up,"('John Murray', 'Marion Mills Miller')",763
"British Airships, Past, Present, and Future",George Whale,762
A. V. Laider,Max Beerbohm,761
Enoch Soames,Max Beerbohm,760
James Pethel,Max Beerbohm,759
"LandSat Picture of Washington, D.C.",the United States,758
50 Bab Ballads,William. S. Gilbert,757
Arizona Sketches,Joseph A. Munk,756
A Lady\'s Life in the Rocky Mountains,Isabella L. Bird,755
The Story of Mankind,Hendrik van Loon,754
Arizona Nights,Stewart Edward White,753
A Young Girl\'s Diary,An Anonymous Young Girl,752
Autocrat of Breakfast Table,Oliver Wendell Holmes,751
High History of the Holy Graal,Unknown,750
Barlaam and Ioasaph,St. John of Damascus,749
The Brother of Daphne,Dornford Yates,748
Anomalies and Curiosities of Medicine,George M. Gould,747
Burning Daylight,Jack London,746
One divide,"Pi (to 1 million digits),",NaN
The Golden Mean,"('Jerry Bonnell', 'Robert Nemiroff')",744
"Thoughts on Man, His Nature, etc",William Godwin,743
Editorials from the Hearst Newspapers,Arthur Brisbane,742
Thomas Hart Benton\'s Remarks to the Senate on the                          741\r\n Expunging Resolution,Thomas Hart Benton,NaN
"Remarks of Mr. Calhoun of South Carolina on the bill to                    740\r\n prevent the interference of certain federal officers in\r\n elections: delivered in the Senate of the United States\r\n February 22, 1839",John C. Calhoun,NaN
The Puzzle of Dickens\'s Last Plot,Andrew Lang,738
The Bobbsey Twins at School,Laura Lee Hope,737
"The History of The Decline and Fall of the Roman Empire, Vol. 6,           736\r\",Edward Gibbon,NaN
"The History of The Decline and Fall of the Roman Empire, Vol. 5,           735\r\",Edward Gibbon,NaN
"The History of The Decline and Fall of the Roman Empire, Vol. 4,           734\r\",Edward Gibbon,NaN
"The History of The Decline and Fall of the Roman Empire, Vol. 3,           733\r\",Edward Gibbon,NaN
"The History of The Decline and Fall of the Roman Empire, Vol. 2,           732\r\",Edward Gibbon,NaN
"The History of The Decline and Fall of the Roman Empire, Vol. 1,           731\r\",Edward Gibbon,NaN
Oliver Twist,Charles Dickens,730
"Hackers, Heroes of the Computer Revolution",Stephen Levy 729C,NaN
Emile Zola,William Dean Howells,728
The Star-Spangled Banner,John A. Carpenter,727
Psychological Counter-current in Recent Fiction,William Dean Howells,726
Men of Invention and Industry,Samuel Smiles,725
The Man of Letters as a Man of Business,William Dean Howells,724
"Henry James, Jr.",William Dean Howells,723
James Otis The Pre-Revolutionist,J. C. Ridpath,722
The Birds\' Christmas Carol,Kate Douglas Wiggin,721
Almayer\'s Folly,Joseph Conrad,720
Tono Bungay,H. G. Wells,718
Chita: A Memory of Last Island,Lafcadio Hearn,717
The Cruise of the Jasper B.,Don Marquis,716
The Moon Endureth--Tales and Fancies,John Buchan,715
The Bobbsey Twins in the Country,Laura Lee Hope,714
"Memoirs of Extraordinary Popular Delusions, Vol. 2",Charles Mackay,713
Thomas Jefferson,Edward S. Ellis,712
Allan Quatermain,H. Rider Haggard,711
Love of Life,Jack London,710
The Princess and the Curdie,George MacDonald,709
The Princess and the Goblin,George MacDonald,708
Raffles,E. W. Hornung,707
The Amateur Cracksman,E. W. Hornung,706
The Roadmender,Michael Fairless,705
The Mansion,Henry Van Dyke,704
Lucasta,Richard Lovelace,703
Somebody\'s Little Girl,Martha Young,702
The King of the Golden River,John Ruskin,701
The Old Curiosity Shop,Charles Dickens,700
A Child\'s History of England,Charles Dickens,699
Memoir of Fleeming Jenkin,Robert Louis Stevenson,698
The Light Princess,George MacDonald,697
The Castle of Otranto,Horace Walpole,696
Glaucus,Charles Kingsley,695
Stories From the 1910 issues of Everybody\'s Magazine,Various,694
Autobiography of a Quack And The Case of George Dedlow,S. W. Mitchell,693
Complete Works of James Whitcomb Riley,Vol. 10,692
Complete Works of James Whitcomb Riley,Vol. 1,691
Proposed Roads to Freedom,Bertrand Russell,690
The Kreutzer Sonata and Other Stories,Leo Tolstoi,689
The Goodness of St. Rocque and Other Stories,Alice Dunbar,688
A Personal Record,Joseph Conrad,687
"The Atomic Bombings of Hiroshima and Nagasaki,                             685\r\",The Manhattan Engineer District of the United States Army,NaN
"Worldwide Effects of Nuclear War: Some Perspectives,                       684\r\","('the United States Arms Control', 'Disarmament Agency')",NaN
The Compleat Angler,Izaak Walton,683
Catalan\'s Constant,Greg Fee,682
Creatures that once were Men,Maxim Gorky,681
The Golden Threshold,Sarojini Naidu,680
Poems,Frances E. W. Harper,679
The Cricket on the Hearth,Charles Dickens,678
"Heroes, or Greek Fairy Tales",Charles Kingsley,677
The Battle of Life,Charles Dickens,676
American Notes for General Circulation,Charles Dickens,675
Lives of the noble Grecians and Romans,Plutarch,674
The Gutenberg Webster\'s Unabridged Dictionar,Project Gutenberg 673C,NaN
The Secret Guide to Computers,Russ Walter 672C,NaN
Phil the Fiddler,"Horatio Alger, Jr.",671
Paul the Peddler,"Horatio Alger, Jr",659
The Fall of Troy,Smyrnaeus Quintus,658
The Anglo-Saxon Chronicle,Unknown,657
Life of Robert Browning,William Sharp,656
Life and Letters of Robert Browning,Mrs. Sutherland Orr,655
Grace Abounding to the Chief of Sinners,John Bunyan,654
The Chimes,Charles Dickens,653
Rasselas,Samuel Johnson,652
Phantasmagoria,Lewis Carroll,651
Pictures from Italy,Charles Dickens,650
"Ancient Poems, Ballads and Songs of the Peasantry of England,              649\r\",Anonomous,NaN
Wild Wales,George Borrow,648
The Dynamiter,Robert Louis Stevenson,647
"The Coral Island, a Tale of the Pacific Ocean",R. M. Ballantyne,646
The Figure in the Carpet,Henry James,645
The Haunted Man and the Ghost\'s Bargain,Charles Dickens,644
The Death of the Lion,Henry James,643
The Altar of the Dead,Henry James,642
The Violet Fairy Book,Various,641
The Yellow Fairy Book,Various,640
God-Idea of the Ancients,Eliza Burt Gamble,639
An Outcast of the Islands,Joseph Conrad,638
The Letters of Robert Louis Stevenson,Vol. 2 of 2,637
Memoirs of Extraordinary Popular Delusions,Charles Mackay,636
The Square Root of 10,"('Robert Nemiroff', 'Jerry Bonnell')",635
Miscellaneous Mathematical Constants,Various,634
The Golden Mean or Ratio [(1 + sqrt 5/2)],Anonymous,633
The Square Root of 8,"('Robert Nemiroff', 'Jerry Bonnell')",632
The Square Root of 7,"('Robert Nemiroff', 'Jerry Bonnell')",631
The Square Root of 6,"('Robert Nemiroff', 'Jerry Bonnell')",630
The Square Root of 5,"('Robert Nemiroff', 'Jerry Bonnell')",629
The Square Root of 3,"('Robert Nemiroff', 'Jerry Bonnell')",628
Essays of Travel,Robert Louis Stevenson,627
The Philobiblon of Richard de Bury,Richard de Bury,626
Ponkapog Papers,Thomas Bailey Aldrich,625
Looking Backwards from 2000 to 1887,Edward Bellamy,624
"The Battle of the Books, and Other Short Pieces",Jonathan Swift,623
Letters of Robert Louis Stevenson,Volume 1,622
The Varieties of Religious Experiance,William James,621
Sylvie and Bruno,Lewis Carroll,620
The Warden,Anthony Trollope,619
Codex Junius 11,Unknown,618
Poems,Alan Seeger,617
"Prayers Written At Vailima, and A Lowden Sabbath Morn,                     616\r\",Robert Louis Stevenson,NaN
