A Christmas Carol,Charles Dickens,1843
The Mysterious Affair at Styles,Agatha Christie,1920
Pride and Prejudice,Jane Austen,1813
The Picture of Dorian Gray,Oscar Wilde,1890
Jane Eyre,Charlotte Brontë,1847
The Time Machine,H.G. Wells,1895
The Island of Dr. Moreau,H.G. Wells,1896
The Man Who Was Thursday: A Nightmare,G.K. Chesterton,1908
A Study in Scarlet,Arthur Conan Doyle,1887
Treasure Island,Robert Louis Stevenson,1882
The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,1886
Crime and Punishment,Fyodor Dostoyevsky,1866
Dracula,Bram Stoker,1897
The War of the Worlds,H.G. Wells,1898
Frankenstein,Mary Wollstonecraft Shelley,1818
Wuthering Heights,Emily Brontë,1847
Cranford,Elizabeth Gaskell,1853
The Moonstone,Wilkie Collins,1868
North and South,Elizabeth Gaskell,1855
The Age of Innocence,Edith Wharton,1920
Persuasion,Jane Austen,1817
The Yellow Wall-Paper,Charlotte Perkins Gilman,1892
The Secret Garden,Frances Hodgson Burnett,1911
My Man Jeeves,P.G. Wodehouse,1919
The Turn of the Screw,Henry James,1898
A Connecticut Yankee in King Arthur's Court,Mark Twain,1889
Mansfield Park,Jane Austen,1814
Sense and Sensibility,Jane Austen,1811
The Metamorphosis,Franz Kafka,1915
Oliver Twist,Charles Dickens,1838
A Tale of Two Cities,Charles Dickens,1859
The Tenant of Wildfell Hall,Anne Brontë,1848
The Adventures of Sherlock Holmes,Arthur Conan Doyle,1892
Madame Bovary,Gustave Flaubert,1856
Three Men in a Boat,Jerome K. Jerome,1889
The Sign of Four,Arthur Conan Doyle,1890
Emma,Jane Austen,1815
Around the World in Eighty Days,Jules Verne,1872
A Princess of Mars,Edgar Rice Burroughs,1912
The Secret Adversary,Agatha Christie,1922
The Wonderful Wizard of Oz,L. Frank Baum,1900
Heart of Darkness,Joseph Conrad,1899
Great Expectations,Charles Dickens,1860
The Trial,Franz Kafka,1925
Northanger Abbey,Jane Austen,1817
The Hound of the Baskervilles,Arthur Conan Doyle,1902
David Copperfield,Charles Dickens,1849
The Count of Monte Cristo,Alexandre Dumas,1844
"Moby-Dick or, The Whale",Herman Melville,1851
War and Peace,Leo Tolstoy,1869
Twenty Thousand Leagues Under the Sea,Jules Verne,1869
The Invisible Man,H.G. Wells,1897
Don Quixote,Miguel de Cervantes Saavedra,1615
The Three Musketeers,Alexandre Dumas,1844
Silas Marner,George Eliot,1861
Middlemarch,George Eliot,1871
The Arabian Nights,Anonymous,800
The Jungle,Upton Sinclair,1906
The Importance of Being Earnest,Oscar Wilde,1895
Dead Souls,Nikolai Gogol,1842
The Woman in White,Wilkie Collins,1859
Gulliver's Travels,Jonathan Swift,1726
Anna Karenina,Leo Tolstoy,1878
Lady Susan,Jane Austen,1871
King Solomon's Mines,H. Rider Haggard,1885
Tarzan of the Apes,Edgar Rice Burroughs,1912
The Call of the Wild,Jack London,1903
The Prince,Niccolò Machiavelli,1513
The Scarlet Pimpernel,Emmuska Orczy,1905
Dubliners,James Joyce,1914
Meditations,Marcus Aurelius,180
A Vindication of the Rights of Woman,Mary Wollstonecraft,1792
Siddhartha,Hermann Hesse,1922
The Prince and the Pauper,Mark Twain,1881
Eugene Onegin,Alexander Pushkin,1825
The Awakening,Kate Chopin,1899
Bleak House,Charles Dickens,1853
Lady Audley's Secret,Mary Elizabeth Braddon,1862
An Occurrence at Owl Creek Bridge,Ambrose Bierce,1890
Flatland: A Romance of Many Dimensions,Edwin A. Abbott,1884
Peter Pan,J.M. Barrie,1904
Candide,Voltaire,1759
Hunger,Knut Hamsun,1890
The Man in the Iron Mask,Alexandre Dumas,1850
The Leavenworth Case,Anna Katharine Green,1878
The Innocence of Father Brown,G.K. Chesterton,1911
The Monk,Matthew Lewis,1796
The 39 Steps,John Buchan,1915
The Autobiography of Benjamin Franklin,Benjamin Franklin,1791
The Idiot,Fyodor Dostoyevsky,1868
The Adventures of Huckleberry Finn,Mark Twain,1884
Leviathan,Thomas Hobbes,1651
Walden,Henry David Thoreau,1854
The Republic,Plato,380
Ulysses,James Joyce,1922
The Brothers Karamazov,Fyodor Dostoyevsky,1880
Vanity Fair,William Makepeace Thackeray,1848
Pygmalion,George Bernard Shaw,1912
The Mysteries of Udolpho,Ann Radcliffe,1794
Les Misérables,Victor Hugo,1862
The Complete Essays,Michel de Montaigne,1572
The Velveteen Rabbit,Margery Williams,1922
The Vampyre; A Tale,John William Polidori,1819
Carmilla,J. Sheridan Le Fanu,1872
Hedda Gabler,Henrik Ibsen,1890
Hard Times,Charles Dickens,1854
Little Women,Louisa May Alcott,1868
The Water Babies,Charles Kingsley,1863
Gargantua and Pantagruel,François Rabelais,1532
The Ambassadors,Henry James,1903
The Red and the Black,Stendhal,1830
The Sorrows of Young Werther,Johann Wolfgang von Goethe,1774
A Modest Proposal,Jonathan Swift,1729
The Adventures of Tom Sawyer,Mark Twain,1876
Villette,Charlotte Brontë,1853
Anne of Green Gables,L.M. Montgomery,1908
Castle Rackrent,Maria Edgeworth,1800
Far from the Madding Crowd,Thomas Hardy,1874
The Aeneid,Virgil,19
The Haunted Bookshop,Christopher Morley,1948
The Nose,Nikolai Gogol,1836
Sister Carrie,Theodore Dreiser,1900
The Old Wives' Tale,Arnold Bennett,1908
The Memoirs of Sherlock Holmes,Arthur Conan Doyle,1894
Roxana,Daniel Defoe,1714
The Wendigo,Algernon Blackwood,1910
The Legend of Sleepy Hollow,Washington Irving,1820
The Scarlet Letter,Nathaniel Hawthorne,1850
The Valley of Fear,Arthur Conan Doyle,1915
The Diary of a Nobody,George Grossmith,1892
"Right Ho, Jeeves",P.G. Wodehouse,1934
Cecilia,Fanny Burney,1782
Scaramouche,Rafael Sabatini,1921
Parnassus on Wheels,Christopher Morley,1917
Bartleby the Scrivener,Herman Melville,1853
The Wind in the Willows,Kenneth Grahame,1908
Uncle Tom's Cabin,Harriet Beecher Stowe,1852
The Blue Fairy Book,Andrew Lang,1887
The House on the Borderland,William Hope Hodgson,1908
Songs of Innocence and of Experience,William Blake,1794
Five Children and It,E. Nesbit,1902
Alice's Adventures in Wonderland & Through the Looking-Glass,Lewis Carroll,1872
Faust: First Part,Johann Wolfgang von Goethe,1808
The Private Memoirs and Confessions of a Justified Sinner,James Hogg,1824
The Canterville Ghost,Oscar Wilde,1887
The Gift of the Magi,O. Henry,1905
A Girl of the Limberlost,Gene Stratton-Porter,1909
The Circular Staircase,Mary Roberts Rinehart,1908
The Lost World,Arthur Conan Doyle,1912
Agnes Grey,Anne Brontë,1847
A Room with a View,E.M. Forster,1908
Tess of the D'Urbervilles,Thomas Hardy,1891
Moll Flanders,Daniel Defoe,1722
The Pilgrim's Progress,John Bunyan,1678
Ivanhoe,Walter Scott,1819
The Red Badge of Courage,Stephen Crane,1895
Robinson Crusoe,Daniel Defoe,1719
The Federalist Papers,Alexander Hamilton,1787
Beyond Good and Evil,Friedrich Nietzsche,1886
Cyrano de Bergerac,Edmond Rostand,1897
The Art of War,Sun Tzu,500
The Wealth of Nations,Adam Smith,1776
The Communist Manifesto,Karl Marx,1848
The Return of Sherlock Holmes,Arthur Conan Doyle,1905
The Unabridged Devil's Dictionary,Ambrose Bierce,1906
No Thoroughfare,Charles Dickens,1867
Martin Chuzzlewit,Charles Dickens,1844
The Theory of the Leisure Class,Thorstein Veblen,1899
Pensées,Blaise Pascal,1669
Confessions,Augustine of Hippo,397
Metamorphoses,Ovid,8
Lady into Fox,David Garnett,1922
Lost Illusions,Honoré de Balzac,1837
Our Mutual Friend,Charles Dickens,1865
"Behind a Mask, Or, a Woman's Power",A.M. Barnard,1866
What Maisie Knew,Henry James,1897
Rob Roy,Walter Scott,1817
The Pickwick Papers,Charles Dickens,1837
The Iliad,Homer,750
Leaves of Grass,Walt Whitman,1855
Eve's Diary,Mark Twain,1906
At the Mountains of Madness,H.P. Lovecraft,1936
Walking,Henry David Thoreau,1862
Understood Betsy,Dorothy Canfield Fisher,1916
Second Variety,Philip K. Dick,1953
Swann's Way,Marcel Proust,1913
From the Earth to the Moon,Jules Verne,1865
The Chimes,Charles Dickens,1844
The Old Curiosity Shop,Charles Dickens,1840
Black Beauty,Anna Sewell,1877
The Mill on the Floss,George Eliot,1860
The Hunchback of Notre-Dame,Victor Hugo,1831
Utopia,Thomas More,1516
Pinocchio,Carlo Collodi,1883
Pudd'nhead Wilson,Mark Twain,1893
"The Life and Opinions of Tristram Shandy, Gentleman",Laurence Sterne,1759
The Black Tulip,Alexandre Dumas,1850
Lady Windermere's Fan,Oscar Wilde,1893
The House of Mirth,Edith Wharton,1905
The Portrait of a Lady,Henry James,1881
"The History of Tom Jones, a Foundling",Henry Fielding,1749
Fathers and Sons,Ivan Turgenev,1862
The Home and the World,Rabindranath Tagore,1916
Captains Courageous,Rudyard Kipling,1897
Little Lord Fauntleroy,Frances Hodgson Burnett,1886
The Way of All Flesh,Samuel Butler,1903
My Ántonia,Willa Cather,1918
The Forsyte Saga,John Galsworthy,1921
Ragged Dick,Horatio Alger Jr.,1868
The Odyssey,Homer,720
Dear Enemy,Jean Webster,1915
The Kama Sutra of Vatsyayana,Mallanaga Vātsyāyana,400
Alice in Wonderland,Jane Carruth,1865
Hamlet,William Shakespeare,1603
The Return of Tarzan,Edgar Rice Burroughs,1913
Wives and Daughters,Elizabeth Gaskell,1866
Main Street,Sinclair Lewis,1920
Lord Jim,Joseph Conrad,1900
Kim,Rudyard Kipling,1901
Ethan Frome,Edith Wharton,1911
The Happy Prince and Other Tales,Oscar Wilde,1888
The Garden Party and Other Stories,Katherine Mansfield,1922
Sylvia's Lovers,Elizabeth Gaskell,1863
The Enchanted April,Elizabeth von Arnim,1922
Elizabeth and Her German Garden,Elizabeth von Arnim,1898
A Portrait of the Artist as a Young Man,James Joyce,1916
The First Men in the Moon,H.G. Wells,1901
The Riddle of the Sands,Erskine Childers,1903
The Jungle Book,Rudyard Kipling,1894
The Battle of Life,Charles Dickens,1846
Evelina,Fanny Burney,1778
Trilby,George du Maurier,1894
Narrative of the Life of Frederick Douglass,Frederick Douglass,1845
The Man With Two Left Feet and Other Stories,P.G. Wodehouse,1917
The Shunned House,H.P. Lovecraft,1937
The Man Who Would Be King,Rudyard Kipling,1888
The Old Man in the Corner,Emmuska Orczy,1901
The Gods of Mars,Edgar Rice Burroughs,1913
The Haunted Hotel: A Mystery of Modern Venice,Wilkie Collins,1879
A Little Princess,Frances Hodgson Burnett,1905
Kidnapped,Robert Louis Stevenson,1886
The Tailor of Gloucester,Beatrix Potter,1903
Roughing It,Mark Twain,1872
The Innocents Abroad,Mark Twain,1869
Aesop's Fables,Aesop,560
The Great God Pan,Arthur Machen,1894
Daddy-Long-Legs,Jean Webster,1912
An Old-Fashioned Girl,Louisa May Alcott,1869
Eight Cousins,Louisa May Alcott,1874
Captain Blood,Rafael Sabatini,1922
The Last of the Mohicans,James Fenimore Cooper,1826
The Histories,Herodotus,440
Paradise Lost,John Milton,1667
The Divine Comedy,Dante Alighieri,1304
The Swiss Family Robinson,Johann David Wyss,1812
The King in Yellow and Other Horror Stories,Robert W. Chambers,1970
